cityGmlLabel,classlabel
LandUse,FunctioneelGebied
LandUse,OnbegroeidTerreindeel
LandUse,RegistratiefGebied
WaterBody,OndersteunendWaterdeel
WaterBody,Waterdeel
BridgeConstructionElement,Overbruggingsdeel
CityFurniture,Inrichtingselement
PlantCover,BegroeidTerreindeel
BuildingInstallation,GebouwInstallatie
_CityObject,IMGeo-Object
_Site,OverigeConstructie
AuxiliaryTrafficArea,OndersteunendWegdeel
BuildingPart,Pand
Railway,Spoor
TunnelPart,Tunneldeel
SolitaryVegetationObject,VegetatieObject
TrafficArea,Wegdeel
