classlabel,lowerclass,lowerclasslabel,broader,lowerclassbroaderlabel,upperclasslabel
Bak,http://www.geostandaarden.nl/imgeo/def/2.1#TypeBak_niet_bgt,niet-bgt,,,Bak
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_boomteelt,boomteelt,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_bouwland,bouwland,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_akkerbouw,akkerbouw,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_bouwland,bouwland,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_bollenteelt,bollenteelt,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_bouwland,bouwland,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_braakliggend,braakliggend,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_bouwland,bouwland,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_vollegrondsteelt,vollegrondsteelt,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_bouwland,bouwland,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_duin,duin,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_gesloten_duinvegetatie,gesloten duinvegetatie,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_duin,duin,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_open_duinvegetatie,open duinvegetatie,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_duin,duin,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_fruitteelt,fruitteelt,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_hoogstam_boomgaarden,hoogstam boomgaarden,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_fruitteelt,fruitteelt,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_klein_fruit,klein fruit,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_fruitteelt,fruitteelt,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_laagstam_boomgaarden,laagstam boomgaarden,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_fruitteelt,fruitteelt,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_wijngaarden,wijngaarden,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_fruitteelt,fruitteelt,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_gemengd_bos,gemengd bos,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_grasland_agrarisch,grasland agrarisch,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_grasland_overig,grasland overig,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_bodembedekkers,bodembedekkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_bosplantsoen,bosplantsoen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_gras_en_kruidachtigen,gras- en kruidachtigen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_heesters,heesters,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_planten,planten,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_struikrozen,struikrozen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_groenvoorziening,groenvoorziening,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_heide,heide,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_houtwal,houtwal,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_kwelder,kwelder,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_loofbos,loofbos,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_griend_en_hakhout,griend en hakhout,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_loofbos,loofbos,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_moeras,moeras,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_naaldbos,naaldbos,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_rietland,rietland,,,BegroeidTerreindeel
